time_s,commanded_velocity_mps,measured_velocity_mps
0.0100,0.0043,0.0000
0.0210,0.0090,0.0000
0.0318,0.0136,0.0006
0.0426,0.0182,0.0004
0.0532,0.0228,0.0035
0.0639,0.0274,0.0025
0.0746,0.0319,0.0159
0.0852,0.0365,0.0112
0.0959,0.0411,0.0297
0.1066,0.0457,0.0208
0.1173,0.0503,0.0369
0.1280,0.0548,0.0258
0.1386,0.0594,0.0506
0.1494,0.0640,0.0354
0.1602,0.0686,0.0626
0.1708,0.0732,0.0438
0.1813,0.0777,0.0755
0.1918,0.0822,0.0528
0.2023,0.0867,0.0926
0.2128,0.0912,0.0648
0.2232,0.0956,0.0454
0.2337,0.1001,0.0576
0.2442,0.1046,0.0403
0.2547,0.1091,0.1222
0.2652,0.1136,0.0855
0.2757,0.1181,0.0599
0.2862,0.1226,0.1453
0.2967,0.1271,0.1017
0.3072,0.1316,0.1607
0.3177,0.1361,0.1125
0.3281,0.1406,0.1263
0.3386,0.1451,0.0884
0.3491,0.1495,0.0619
0.3596,0.1541,0.0433
0.3701,0.1586,0.0303
0.3806,0.1630,0.2310
0.3911,0.1675,0.1617
0.4015,0.1720,0.1132
0.4120,0.1765,0.2055
0.4225,0.1810,0.1439
0.4330,0.1855,0.2373
0.4435,0.1900,0.1661
0.4539,0.1945,0.1163
0.4644,0.1989,0.1994
0.4749,0.2034,0.1396
0.4854,0.2079,0.2313
0.4959,0.2124,0.1619
0.5063,0.2169,0.1133
0.5168,0.2214,0.0793
0.5273,0.2259,0.0555
0.5378,0.2304,0.3085
0.5483,0.2349,0.2159
0.5588,0.2394,0.1511
0.5694,0.2439,0.2228
0.5799,0.2484,0.1560
0.5903,0.2529,0.1686
0.6008,0.2574,0.1180
0.6113,0.2619,0.0826
0.6218,0.2664,0.3460
0.6323,0.2709,0.2422
0.6428,0.2754,0.3151
0.6533,0.2799,0.2206
0.6638,0.2844,0.1544
0.6742,0.2888,0.2478
0.6847,0.2933,0.1735
0.6952,0.2978,0.2432
0.7057,0.3023,0.1703
0.7162,0.3068,0.2411
0.7266,0.3098,0.1688
0.7370,0.3098,0.1181
0.7475,0.3098,0.2578
0.7580,0.3098,0.1804
0.7685,0.3098,0.2353
0.7790,0.3098,0.1647
0.7895,0.3098,0.1153
0.8000,0.3098,0.2023
0.8105,0.3098,0.1416
0.8210,0.3098,0.1063
0.8314,0.3098,0.0744
0.8419,0.3098,0.3141
0.8524,0.3098,0.2198
0.8628,0.3098,0.1539
0.8734,0.3098,0.2798
0.8840,0.3098,0.1959
0.8945,0.3098,0.3006
0.9050,0.3098,0.2104
0.9155,0.3098,0.1473
0.9260,0.3098,0.2448
0.9364,0.3098,0.1713
0.9469,0.3098,0.2383
0.9574,0.3098,0.1668
0.9679,0.3098,0.1168
0.9783,0.3098,0.2487
0.9889,0.3098,0.1741
0.9993,0.3098,0.2809
1.0098,0.3098,0.1966
1.0203,0.3098,0.1376
1.0308,0.3098,0.2497
1.0413,0.3098,0.1748
1.0517,0.3098,0.2494
1.0623,0.3098,0.1746
1.0728,0.3098,0.1222
1.0833,0.3098,0.0855
1.0937,0.3098,0.0599
1.1042,0.3098,0.0987
1.1147,0.3098,0.0691
1.1252,0.3098,0.4274
1.1357,0.3098,0.2991
1.1461,0.3098,0.2094
1.1566,0.3098,0.2719
1.1672,0.3098,0.1903
1.1776,0.3098,0.1332
1.1881,0.3098,0.0933
1.1986,0.3098,0.0653
1.2091,0.3098,0.3645
1.2197,0.3098,0.2552
1.2302,0.3098,0.2973
1.2406,0.3098,0.2081
1.2511,0.3098,0.1457
1.2616,0.3098,0.2804
1.2721,0.3098,0.1963
1.2825,0.3098,0.2715
1.2930,0.3098,0.1901
1.3035,0.3098,0.2704
1.3140,0.3098,0.1893
1.3245,0.3098,0.1325
1.3349,0.3098,0.2101
1.3454,0.3098,0.1471
1.3559,0.3098,0.2213
1.3665,0.3098,0.1549
1.3771,0.3098,0.1084
1.3876,0.3098,0.1380
1.3981,0.3098,0.0966
1.4086,0.3098,0.3366
1.4191,0.3098,0.2356
1.4296,0.3098,0.1650
1.4401,0.3098,0.2393
1.4505,0.3098,0.1675
1.4610,0.3098,0.2362
1.4715,0.3098,0.1653
1.4820,0.3098,0.2985
1.4924,0.3098,0.2089
1.5029,0.3098,0.1462
1.5134,0.3098,0.2373
1.5239,0.3098,0.1661
1.5344,0.3098,0.2565
1.5448,0.3098,0.1795
1.5553,0.3098,0.1257
1.5658,0.3098,0.2165
1.5762,0.3098,0.1516
1.5867,0.3098,0.2239
1.5971,0.3098,0.1568
1.6077,0.3098,0.2866
1.6182,0.3098,0.2007
1.6286,0.3098,0.1405
1.6390,0.3098,0.1641
1.6495,0.3098,0.1149
1.6600,0.3098,0.0804
1.6705,0.3098,0.0563
1.6809,0.3098,0.0394
1.6914,0.3098,0.3631
1.7019,0.3098,0.2542
1.7124,0.3093,0.3567
1.7228,0.3032,0.2497
1.7335,0.2969,0.2579
1.7439,0.2908,0.1805
1.7544,0.2846,0.1264
1.7649,0.2785,0.2567
1.7753,0.2724,0.1797
1.7858,0.2662,0.3144
1.7963,0.2601,0.2201
1.8067,0.2539,0.1541
1.8172,0.2478,0.2225
1.8277,0.2416,0.1557
1.8382,0.2355,0.3057
1.8487,0.2293,0.2140
1.8592,0.2232,0.1498
1.8696,0.2170,0.2558
1.8801,0.2109,0.1791
1.8906,0.2047,0.2666
1.9010,0.1986,0.1866
1.9117,0.1923,0.1306
1.9222,0.1862,0.2133
1.9327,0.1800,0.1493
1.9431,0.1739,0.2852
1.9536,0.1678,0.1997
1.9642,0.1616,0.1398
1.9747,0.1554,0.1032
1.9852,0.1492,0.0723
1.9957,0.1431,0.3157
2.0062,0.1369,0.2210
2.0167,0.1308,0.1547
2.0271,0.1246,0.2919
2.0376,0.1185,0.2044
2.0481,0.1123,0.2843
2.0586,0.1062,0.1990
2.0691,0.1000,0.3081
2.0795,0.0939,0.2157
2.0900,0.0877,0.1510
2.1005,0.0816,0.2319
2.1109,0.0755,0.1623
2.1214,0.0693,0.2439
2.1319,0.0631,0.1708
2.1424,0.0570,0.3089
2.1529,0.0508,0.2162
2.1635,0.0446,0.1514
2.1740,0.0385,0.2342
2.1844,0.0323,0.1639
2.1949,0.0262,0.2746
2.2053,0.0201,0.1922
2.2158,0.0139,0.1503
2.2263,0.0077,0.1052
2.2368,0.0016,0.0736
2.2473,0.0000,0.0515
2.2578,0.0000,0.0361
2.2683,0.0000,0.3929
2.2788,0.0000,0.2750
2.2893,0.0000,0.3147
2.2997,0.0000,0.2203
2.3102,0.0000,0.1542
2.3208,0.0000,0.1697
2.3312,0.0000,0.1188
2.3417,0.0000,0.2918
2.3521,0.0000,0.2042
2.3626,0.0000,0.2702
2.3731,0.0000,0.1891
2.3836,0.0000,0.1324
2.3941,0.0000,0.2926
2.4046,0.0000,0.2048
2.4151,0.0000,0.2840
2.4255,0.0000,0.1988
2.4360,0.0000,0.1392
2.4464,0.0000,0.2408
2.4569,0.0000,0.1686
2.4674,0.0000,0.2283
2.4779,0.0000,0.1598
2.4884,0.0000,0.1119
2.4989,0.0000,0.2578
2.5094,0.0000,0.1804
2.5199,0.0000,0.2439
2.5304,0.0000,0.1707
2.5409,0.0000,0.1257
2.5513,0.0000,0.0880
2.5618,0.0000,0.0616
2.5723,0.0000,0.3252
2.5827,0.0000,0.2277
2.5932,0.0000,0.3448
2.6037,0.0000,0.2414
2.6142,0.0000,0.1690
2.6247,0.0000,0.2759
2.6352,0.0000,0.1931
2.6457,0.0000,0.2875
2.6561,0.0000,0.2013
2.6666,0.0000,0.1409
2.6771,0.0000,0.2103
2.6876,0.0000,0.1472
2.6981,0.0000,0.2692
2.7088,0.0000,0.1884
2.7193,0.0000,0.2925
2.7297,0.0000,0.2048
2.7402,0.0000,0.1433
2.7507,0.0000,0.2172
2.7611,0.0000,0.1520
2.7716,0.0000,0.1480
2.7821,0.0000,0.1036
2.7926,0.0000,0.0725
2.8032,0.0000,0.0508
2.8136,0.0000,0.0355
2.8241,0.0000,0.0362
2.8346,0.0000,0.0254
2.8451,0.0000,0.0839
2.8556,0.0000,0.0587
2.8661,0.0000,0.0411
2.8766,0.0000,0.0425
2.8871,0.0000,0.0297
2.8976,0.0000,0.0355
2.9081,0.0000,0.0249
