time_s,commanded_cruise_radps,measured_velocity_radps
0.0000,-2.2125,0.0000
0.0107,-2.2125,0.0127
0.0213,-2.2125,0.0089
0.0319,-2.2125,0.0062
0.0425,-2.2125,0.0076
0.0531,-2.2125,0.0053
0.0638,-2.2125,0.0037
0.0744,-2.2125,0.0022
0.0850,-2.2125,0.0016
0.0957,-2.2125,0.0011
0.1063,-2.2125,0.0008
0.1169,-2.2125,-0.5819
0.1275,-2.2125,-0.4073
0.1382,-2.2125,-0.7563
0.1488,-2.2125,-0.5294
0.1594,-2.2125,-0.3706
0.1701,-2.2125,-0.7659
0.1807,-2.2125,-0.5361
0.1914,-2.2125,-1.6430
0.2019,-2.2125,-1.1501
0.2127,-2.2125,-1.4950
0.2234,-2.2125,-1.0465
0.2340,-2.2125,-1.4057
0.2446,-2.2125,-0.9840
0.2552,-2.2125,-1.3643
0.2658,-2.2125,-0.9550
0.2764,-2.2125,-0.6685
0.2870,-2.2125,-1.9816
0.2976,-2.2125,-1.3871
0.3083,-2.2125,-1.6857
0.3189,-2.2125,-1.1800
0.3295,-2.2125,-0.8260
0.3401,-2.2125,-0.5782
0.3508,-2.2125,-0.4047
0.3613,-2.2125,-0.2833
0.3719,-2.2125,-1.6751
0.3824,-2.2125,-1.1726
0.3930,-2.2125,-2.2089
0.4036,-2.2125,-1.5462
0.4142,-2.2125,-1.8090
0.4248,-2.2125,-1.2663
0.4354,-2.2125,-1.6426
0.4461,-2.2125,-1.1498
0.4567,-2.2125,-1.5761
0.4674,-2.2125,-1.1032
0.4780,-2.2125,-1.4990
0.4887,-2.2125,-1.0493
0.4993,-2.2125,-1.4701
0.5100,-2.2125,-1.0291
0.5207,-2.2125,-2.1309
0.5313,-2.2125,-1.4917
0.5419,-2.2125,-1.7841
0.5525,-2.2125,-1.2489
0.5632,-2.2125,-1.6011
0.5737,-2.2125,-1.1208
0.5844,-2.2125,-1.4929
0.5950,-2.2125,-1.0450
0.6056,-2.2125,-1.4784
0.6162,-2.2125,-1.0349
0.6268,-2.2125,-1.4327
0.6375,-2.2125,-1.0029
0.6481,-2.2125,-0.7020
0.6587,-2.2125,-0.4914
0.6693,-2.2125,-1.0395
0.6799,-2.2125,-0.7276
0.6905,-2.2125,-1.9532
0.7011,-2.2125,-1.3672
0.7118,-2.2125,-1.6264
0.7223,-2.2125,-1.1385
0.7330,-2.2125,-0.7969
0.7436,-2.2125,-0.5578
0.7542,-2.2125,-1.1431
0.7648,-2.2125,-0.8002
0.7754,-2.2125,-0.5601
0.7860,-2.2125,-2.5414
0.7966,-2.2125,-1.7790
0.8072,-2.2125,-2.0127
0.8178,-2.2125,-1.4089
0.8283,-2.2125,-1.7274
0.8389,-2.2125,-1.2092
0.8496,-2.2125,-1.5988
0.8602,-2.2125,-1.1191
0.8708,-2.2125,-1.4500
0.8815,-2.2125,-1.0150
0.8921,-2.2125,-0.7105
0.9027,-2.2125,-0.4974
0.9133,-2.2125,-0.3482
0.9240,-2.2125,-0.2437
0.9346,-2.2125,-1.6388
0.9452,-2.2125,-1.1471
0.9558,-2.2125,-2.2719
0.9663,-2.2125,-1.5903
0.9769,-2.2125,-1.1132
0.9875,-2.2125,-2.2401
0.9981,-2.2125,-1.5681
1.0087,-2.2125,-1.8155
1.0192,-2.2125,-1.2708
1.0298,-2.2125,-1.6241
1.0404,-2.2125,-1.1369
1.0510,-2.2125,-1.5269
1.0616,-2.2125,-1.0688
1.0723,-2.2125,-1.5081
1.0829,-2.2125,-1.0557
1.0935,-2.2125,-1.4840
1.1042,-2.2125,-1.0388
1.1149,-2.2125,-1.4321
1.1255,-2.2125,-1.0025
1.1361,-2.2125,-1.4064
1.1468,-2.2125,-0.9845
1.1575,-2.2125,-1.4180
1.1681,-2.2125,-0.9926
1.1787,-2.2125,-1.4163
1.1893,-2.2125,-0.9914
1.1999,-2.2125,-2.1562
1.2105,-2.2125,-1.5094
1.2212,-2.2125,-1.7413
1.2318,-2.2125,-1.2189
1.2424,-2.2125,-0.8532
1.2530,-2.2125,-0.5972
1.2637,-2.2125,-1.9136
1.2743,-2.2125,-1.3395
1.2849,-2.2125,-1.6689
1.2955,-2.2125,-1.1682
1.3062,-2.2125,-0.8177
1.3168,-2.2125,-0.5724
1.3274,-2.2125,-1.8540
1.3380,-2.2125,-1.2978
1.3487,-2.2125,-1.6043
1.3592,-2.2125,-1.1230
1.3698,-2.2125,-0.7861
1.3804,-2.2125,-0.5503
1.3910,-2.2125,-1.8683
1.4016,-2.2125,-1.3078
1.4121,-2.2125,-1.3865
1.4227,-2.2125,-0.9706
1.4333,-2.2125,-0.7759
1.4440,-2.2125,-0.5431
1.4546,-2.2125,-0.1104
1.4652,-2.2125,-0.0773
1.4758,-2.2125,-0.0541
1.4864,-2.2125,-0.0379
1.4970,-2.2125,-0.0265
1.5076,-2.2125,1.0245
1.5183,-2.2125,0.7171
1.5289,-2.2125,1.7225
1.5395,-2.2125,1.2057
1.5502,-2.2125,2.2301
1.5608,-2.2125,1.5611
1.5714,-2.2125,1.0928
1.5820,-2.2125,0.7649
1.5927,-2.2125,1.2244
1.6033,-2.2125,0.8571
1.6139,-2.2125,0.9861
1.6246,-2.2125,0.6903
1.6352,-2.2125,0.4392
1.6459,-2.2125,0.3075
1.6566,-2.2125,-0.0980
1.6672,-2.2125,-0.0686
1.6778,-2.2125,-0.5088
1.6885,-2.2125,-0.3562
1.6991,-2.2125,-0.8022
1.7097,-2.2125,-0.5615
1.7203,-2.2125,-0.9784
1.7310,-2.2125,-0.6849
1.7417,-2.2125,-1.0469
1.7523,-2.2125,-0.7329
1.7629,-2.2125,-1.8729
1.7735,-2.2125,-1.3110
1.7841,-2.2125,-0.9177
1.7948,-2.2125,-0.6424
1.8054,-2.2125,-0.4497
1.8160,-2.2125,-0.3148
1.8266,-2.2125,-1.2611
1.8372,-2.2125,-0.8828
1.8478,-2.2125,-0.2516
1.8584,-2.2125,-0.1761
1.8690,-2.2125,0.3618
1.8796,-2.2125,0.2533
1.8903,-2.2125,0.7326
1.9009,-2.2125,0.5128
1.9115,-2.2125,0.9845
1.9221,-2.2125,0.6892
1.9328,-2.2125,1.0922
1.9434,-2.2125,0.7645
1.9540,-2.2125,1.1928
1.9647,-2.2125,0.8350
1.9753,-2.2125,0.5845
1.9858,-2.2125,1.5422
1.9965,-2.2125,1.0796
2.0071,-2.2125,0.7282
2.0177,-2.2125,0.5098
2.0283,-2.2125,0.0306
2.0389,-2.2125,0.0214
2.0495,-2.2125,0.0150
2.0601,-2.2125,0.0105
2.0708,-2.2125,0.0073
2.0814,-2.2125,0.0051
2.0920,-2.2125,-0.9868
2.1027,-2.2125,-0.6908
2.1133,-2.2125,-1.6416
2.1239,-2.2125,-1.1491
2.1345,-2.2125,-1.4550
2.1451,-2.2125,-1.0185
2.1557,-2.2125,-1.4354
2.1663,-2.2125,-1.0048
2.1770,-2.2125,-1.3403
2.1876,-2.2125,-0.9382
2.1982,-2.2125,-0.9391
2.2088,-2.2125,-0.6573
2.2195,-2.2125,-0.1388
2.2301,-2.2125,-0.0972
2.2408,-2.2125,0.4069
2.2514,-2.2125,0.2848
2.2620,-2.2125,0.7571
2.2727,-2.2125,0.5300
2.2832,-2.2125,0.9886
2.2939,-2.2125,0.6920
2.3045,-2.2125,1.1272
2.3152,-2.2125,0.7891
2.3258,-2.2125,1.2174
2.3365,-2.2125,0.8522
2.3471,-2.2125,1.3015
2.3578,-2.2125,0.9110
2.3685,-2.2125,1.2731
2.3791,-2.2125,0.8911
2.3898,-2.2125,0.6238
2.4004,-2.2125,0.4367
2.4110,-2.2125,0.3558
2.4216,-2.2125,0.2491
2.4322,-2.2125,-0.1917
2.4428,-2.2125,-0.1342
2.4535,-2.2125,-0.5691
2.4641,-2.2125,-0.3983
2.4747,-2.2125,-0.8602
2.4853,-2.2125,-0.6022
2.4959,-2.2125,-1.6153
2.5065,-2.2125,-1.1307
2.5172,-2.2125,-1.4478
2.5278,-2.2125,-1.0135
2.5384,-2.2125,-1.2837
2.5490,-2.2125,-0.8986
2.5596,-2.2125,-0.8336
2.5702,-2.2125,-0.5835
2.5808,-2.2125,-0.2674
2.5913,-2.2125,-0.1872
2.6019,-2.2125,-0.1310
2.6125,-2.2125,-0.0917
2.6231,-2.2125,-0.0642
2.6337,-2.2125,-0.0449
2.6443,-2.2125,0.3726
2.6549,-2.2125,0.2608
2.6655,-2.2125,1.2399
2.6761,-2.2125,0.8679
2.6867,-2.2125,1.8600
2.6973,-2.2125,1.3020
2.7079,-2.2125,1.6566
2.7185,-2.2125,1.1596
2.7291,-2.2125,1.4604
2.7397,-2.2125,1.0223
2.7504,-2.2125,1.1153
2.7610,-2.2125,0.7807
2.7716,-2.2125,0.5484
2.7823,-2.2125,0.3839
2.7929,-2.2125,-0.0700
2.8035,-2.2125,-0.0490
2.8141,-2.2125,-0.4888
2.8248,-2.2125,-0.3421
2.8354,-2.2125,-0.7752
2.8460,-2.2125,-0.5426
2.8567,-2.2125,-1.5534
2.8674,-2.2125,-1.0874
2.8780,-2.2125,-1.4045
2.8887,-2.2125,-0.9832
2.8993,-2.2125,-1.3458
2.9099,-2.2125,-0.9421
2.9206,-2.2125,-1.2617
2.9312,-2.2125,-0.8832
2.9419,-2.2125,-0.6183
2.9526,-2.2125,-0.4328
2.9632,-2.2125,-0.5650
2.9738,-2.2125,-0.3955
2.9848,-2.2125,0.2618
2.9954,-2.2125,0.1833
3.0061,-2.2125,0.6391
3.0167,-2.2125,0.4474
3.0273,-2.2125,0.3132
3.0379,-2.2125,0.2192
3.0486,-2.2125,1.2941
3.0592,-2.2125,0.9059
3.0698,-2.2125,1.2745
3.0805,-2.2125,0.8921
3.0911,-2.2125,1.3488
3.1017,-2.2125,0.9441
3.1123,-2.2125,0.6609
3.1229,-2.2125,0.4626
3.1335,-2.2125,1.4337
3.1442,-2.2125,1.0036
3.1548,-2.2125,0.5427
3.1654,-2.2125,0.3799
3.1760,-2.2125,0.2659
3.1866,-2.2125,-0.2657
3.1971,-2.2125,-0.1860
3.2078,-2.2125,-0.1302
3.2184,-2.2125,-0.0911
3.2290,-2.2125,-0.5863
3.2396,-2.2125,-0.4104
3.2503,-2.2125,-1.4731
3.2609,-2.2125,-1.0312
3.2715,-2.2125,-1.3364
3.2822,-2.2125,-0.9355
3.2928,-2.2125,-1.3162
3.3034,-2.2125,-0.9214
3.3141,-2.2125,-1.8359
3.3248,-2.2125,-1.2851
3.3354,-2.2125,-0.9298
3.3461,-2.2125,-0.6508
