time_s,commanded_cruise_radps,measured_velocity_radps
0.0000,-2.2125,0.0000
0.0107,-2.2125,0.0000
0.0213,-2.2125,0.0000
0.0318,-2.2125,0.0029
0.0423,-2.2125,0.0020
0.0529,-2.2125,0.0014
0.0634,-2.2125,0.0024
0.0740,-2.2125,0.0017
0.0845,-2.2125,-0.0125
0.0950,-2.2125,-0.0087
0.1055,-2.2125,-0.0061
0.1160,-2.2125,-0.2299
0.1265,-2.2125,-0.1609
0.1370,-2.2125,-0.5316
0.1475,-2.2125,-0.3721
0.1580,-2.2125,-0.7697
0.1685,-2.2125,-0.5388
0.1790,-2.2125,-0.3772
0.1895,-2.2125,-0.8279
0.2000,-2.2125,-0.5795
0.2105,-2.2125,-0.4057
0.2210,-2.2125,-0.2840
0.2315,-2.2125,-0.1988
0.2420,-2.2125,-2.0992
0.2525,-2.2125,-1.4694
0.2630,-2.2125,-2.3643
0.2735,-2.2125,-1.6550
0.2840,-2.2125,-1.9082
0.2945,-2.2125,-1.3358
0.3050,-2.2125,-0.9350
0.3155,-2.2125,-2.1653
0.3260,-2.2125,-1.5157
0.3365,-2.2125,-1.8240
0.3470,-2.2125,-1.2768
0.3575,-2.2125,-0.8938
0.3679,-2.2125,-2.0636
0.3785,-2.2125,-1.4446
0.3890,-2.2125,-1.7650
0.3995,-2.2125,-1.2355
0.4099,-2.2125,-0.8649
0.4204,-2.2125,-2.0680
0.4310,-2.2125,-1.4476
0.4414,-2.2125,-1.8204
0.4519,-2.2125,-1.2743
0.4624,-2.2125,-0.8920
0.4729,-2.2125,-1.3122
0.4835,-2.2125,-0.9185
0.4940,-2.2125,-1.3616
0.5044,-2.2125,-0.9531
0.5149,-2.2125,-0.6672
0.5255,-2.2125,-1.9646
0.5360,-2.2125,-1.3752
0.5465,-2.2125,-1.6526
0.5570,-2.2125,-1.1568
0.5675,-2.2125,-0.8098
0.5780,-2.2125,-1.3263
0.5885,-2.2125,-0.9284
0.5989,-2.2125,-1.3701
0.6094,-2.2125,-0.9590
0.6199,-2.2125,-0.6713
0.6305,-2.2125,-1.2183
0.6410,-2.2125,-0.8528
0.6514,-2.2125,-2.0791
0.6619,-2.2125,-1.4554
0.6725,-2.2125,-1.0188
0.6830,-2.2125,-0.7131
0.6935,-2.2125,-0.4992
0.7040,-2.2125,-1.8821
0.7145,-2.2125,-1.3175
0.7250,-2.2125,-0.9222
0.7355,-2.2125,-0.6456
0.7460,-2.2125,-0.4519
0.7565,-2.2125,-1.7501
0.7670,-2.2125,-1.2250
0.7775,-2.2125,-0.8575
0.7880,-2.2125,-0.6003
0.7985,-2.2125,-0.4202
0.8090,-2.2125,-1.7235
0.8195,-2.2125,-1.2065
0.8300,-2.2125,-2.3977
0.8405,-2.2125,-1.6784
0.8510,-2.2125,-2.5955
0.8615,-2.2125,-1.8169
0.8720,-2.2125,-1.2718
0.8825,-2.2125,-1.6146
0.8930,-2.2125,-1.1302
0.9034,-2.2125,-2.2927
0.9139,-2.2125,-1.6049
0.9244,-2.2125,-1.1234
0.9349,-2.2125,-1.5229
0.9454,-2.2125,-1.0660
0.9559,-2.2125,-1.4652
0.9665,-2.2125,-1.0256
0.9770,-2.2125,-0.7179
0.9875,-2.2125,-1.2444
0.9980,-2.2125,-0.8710
1.0085,-2.2125,-1.3855
1.0190,-2.2125,-0.9699
1.0295,-2.2125,-2.2331
1.0400,-2.2125,-1.5631
1.0505,-2.2125,-1.0942
1.0610,-2.2125,-1.5195
1.0715,-2.2125,-1.0636
1.0819,-2.2125,-2.1939
1.0924,-2.2125,-1.5358
1.1030,-2.2125,-1.0750
1.1135,-2.2125,-1.4675
1.1240,-2.2125,-1.0272
1.1345,-2.2125,-1.4954
1.1450,-2.2125,-1.0468
1.1556,-2.2125,-2.2144
1.1660,-2.2125,-1.5501
1.1765,-2.2125,-1.0851
1.1870,-2.2125,-1.4677
1.1975,-2.2125,-1.0274
1.2080,-2.2125,-1.3606
1.2185,-2.2125,-0.9524
1.2290,-2.2125,-0.6667
1.2396,-2.2125,-0.4667
1.2500,-2.2125,-0.3267
1.2605,-2.2125,-1.4583
1.2710,-2.2125,-1.0208
1.2816,-2.2125,-0.7146
1.2921,-2.2125,-0.5002
1.3026,-2.2125,-0.3501
1.3131,-2.2125,-0.6436
1.3236,-2.2125,-0.4505
1.3341,-2.2125,-0.7298
1.3446,-2.2125,-0.5109
1.3551,-2.2125,-0.3576
1.3655,-2.2125,-0.5529
1.3760,-2.2125,-0.3870
1.3866,-2.2125,-0.7520
1.3971,-2.2125,-0.5264
1.4075,-2.2125,-0.3685
1.4182,-2.2125,-0.9826
1.4287,-2.2125,-0.6878
1.4392,-2.2125,-0.6515
1.4496,-2.2125,-0.4560
1.4601,-2.2125,-0.3192
1.4706,-2.2125,-0.3365
1.4811,-2.2125,-0.2355
1.4916,-2.2125,-0.2533
1.5020,-2.2125,-0.1773
1.5125,-2.2125,-0.1241
1.5230,-2.2125,-0.1382
1.5335,-2.2125,-0.0968
1.5440,-2.2125,-0.1742
1.5545,-2.2125,-0.1219
1.5650,-2.2125,-0.0853
1.5755,-2.2125,-0.1203
1.5860,-2.2125,-0.0842
1.5965,-2.2125,-0.0964
1.6070,-2.2125,-0.0675
1.6175,-2.2125,-0.1030
1.6280,-2.2125,-0.0721
1.6385,-2.2125,-0.0505
1.6490,-2.2125,-0.0704
1.6595,-2.2125,-0.0493
